"pseudo_id","Date","Total.ST.min","Social.ST.min","Pickups","is_weekday","Daily_Prop_Social_ST","Daily_Duration_Per_Use","Treatment","workmate","X2: academic talk","non-academic","pets","sex","age","cousre credit","country degree","job","siblings","apps","devices","procrastination score","team","BMI","compliance","is_intervention"
6419,2024-03-02,321,169,95,1,0.526479750778816,3.37894736842105,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-03,401,295,104,0,0.735660847880299,3.85576923076923,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-04,290,115,79,0,0.396551724137931,3.67088607594937,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-05,387,239,104,1,0.617571059431525,3.72115384615385,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-06,358,216,82,1,0.603351955307263,4.36585365853659,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-07,277,179,113,1,0.646209386281588,2.45132743362832,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-08,298,113,89,1,0.379194630872483,3.34831460674157,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-09,341,198,102,1,0.580645161290323,3.34313725490196,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-10,309,231,96,0,0.747572815533981,3.21875,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-11,269,128,90,0,0.475836431226766,2.98888888888889,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-12,398,169,104,1,0.424623115577889,3.82692307692308,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-13,267,142,112,1,0.531835205992509,2.38392857142857,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-14,295,156,105,1,0.528813559322034,2.80952380952381,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-15,351,214,93,1,0.60968660968661,3.7741935483871,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-16,266,109,118,1,0.409774436090226,2.25423728813559,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-17,387,205,69,0,0.529715762273902,5.60869565217391,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-18,421,132,84,0,0.31353919239905,5.01190476190476,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-19,235,101,75,1,0.429787234042553,3.13333333333333,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-20,218,93,109,1,0.426605504587156,2,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-21,348,211,79,1,0.60632183908046,4.40506329113924,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-22,361,139,59,1,0.385041551246537,6.11864406779661,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-23,270,89,101,1,0.32962962962963,2.67326732673267,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-24,259,102,98,0,0.393822393822394,2.64285714285714,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-25,306,103,70,0,0.336601307189543,4.37142857142857,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-26,341,144,108,1,0.422287390029326,3.15740740740741,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
